dataset,dataset_folder,seed,method,anchor,raw_pair_y_abs_corr,proj_pair_y_abs_corr_median,proj_minus_raw_pair_y_abs_corr,raw_anchor_knn_abs_y,proj_anchor_knn_abs_y_median,proj_minus_raw_anchor_knn_abs_y,all_neighbor_abs_y,near_threshold,threshold_distance,shock_location,lmjgp_anchor,lmjgp_abs_error,lmjgp_kappa_EW_raw,lmjgp_eff_rank_EW_raw,lmjgp_trace_E_WtW_A,lmjgp_eff_rank_E_WWt_B,lmjgp_kappa_K_metric_plus_noise,lmjgp_kappa_K_sampled_norm_plus_noise,lmjgp_kappa_K_EW_Z_plus_noise
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,0.0,0.158374170631343,0.18116656666117462,0.02279239602983163,0.07949713617563248,0.07209881767630577,-0.007398318499326706,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,0,,nan,nan,387.84002685546875,2.999999761581421,7.659256935119629,44.71261024475098,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,1.0,-0.07340377860033029,-0.03835090266087345,0.035052875939456836,0.2538348436355591,0.24576571583747864,-0.008069127798080444,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,1,,nan,nan,387.84002685546875,2.999999761581421,1.065574049949646,37.8552188873291,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,2.0,0.16149304821816252,0.301306542345889,0.13981349412772648,0.10907306522130966,0.10952237620949745,0.0004493109881877899,0.10959672182798386,0,0.5,0.0,2,,nan,nan,387.84002685546875,2.999999761581421,1.7066278457641602,42.230079650878906,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,3.0,-0.11872729432160786,-0.12951444802989023,-0.010787153708282371,0.36835718154907227,0.5248939841985703,0.15653680264949799,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,3,,nan,nan,387.84002685546875,2.999999761581421,1.0306696891784668,39.46592712402344,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,4.0,0.137688680325182,0.22425191270804762,0.08656323238286562,0.730478048324585,0.5808112323284149,-0.14966681599617004,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,4,,nan,nan,387.84002685546875,2.999999761581421,1.0000035762786865,36.01035118103027,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,5.0,0.028508730337246966,0.11078124087835231,0.08227251054110535,0.826001763343811,0.6960823237895966,-0.12991943955421448,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,5,,nan,nan,387.84002685546875,2.999999761581421,1.7946689128875732,42.51538848876953,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,6.0,-0.27468349687228166,-0.1817889359776924,0.09289456089458925,0.10389061272144318,0.10389061272144318,0.0,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,6,,nan,nan,387.84002685546875,2.999999761581421,7.31784725189209,45.408782958984375,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,lmjgp_transductive,7.0,0.04396329760888791,0.19863797684245849,0.1546746792335706,0.5085366368293762,0.5065191090106964,-0.0020175278186798096,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,7,,nan,nan,387.84002685546875,2.999999761581421,1.0008822679519653,30.908681869506836,47.13594055175781
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,0.0,0.158374170631343,0.1307766189071219,-0.027597551724221098,0.07949713617563248,0.05838274955749512,-0.02111438661813736,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,1.0,-0.07340377860033029,-0.012798591608335316,0.06060518699199497,0.2538348436355591,0.25826865434646606,0.004433810710906982,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,2.0,0.16149304821816252,0.1465434193629447,-0.014949628855217806,0.10907306522130966,0.1158105731010437,0.006737507879734039,0.10959672182798386,0,0.5,0.0,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,3.0,-0.11872729432160786,-0.14974644991436287,-0.031019155592755004,0.36835718154907227,0.6876398921012878,0.3192827105522156,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,4.0,0.137688680325182,0.32596696420515875,0.18827828387997675,0.730478048324585,0.736531674861908,0.006053626537322998,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,5.0,0.028508730337246966,-0.06761376355208358,-0.09612249388933054,0.826001763343811,0.8159869313240051,-0.010014832019805908,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,6.0,-0.27468349687228166,-0.17074906995476716,0.1039344269175145,0.10389061272144318,0.10389061272144318,0.0,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,cem_em_transductive,7.0,0.04396329760888791,-0.04602662121696995,-0.08998991882585786,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,0.0,0.158374170631343,0.017863510414631398,-0.1405106602167116,0.07949713617563248,0.06091151759028435,-0.01858561858534813,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,1.0,-0.07340377860033029,0.02199817121428711,0.0954019498146174,0.2538348436355591,0.25826865434646606,0.004433810710906982,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,2.0,0.16149304821816252,0.03368724847497963,-0.1278057997431829,0.10907306522130966,0.10617780685424805,-0.002895258367061615,0.10959672182798386,0,0.5,0.0,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,3.0,-0.11872729432160786,-0.15338357528145344,-0.034656280959845576,0.36835718154907227,0.6876398921012878,0.3192827105522156,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,4.0,0.137688680325182,0.28292827688378885,0.14523959655860685,0.730478048324585,0.736531674861908,0.006053626537322998,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,5.0,0.028508730337246966,-0.06111717183914597,-0.08962590217639294,0.826001763343811,0.8260018229484558,5.960464477539063e-08,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,6.0,-0.27468349687228166,-0.21139957564323086,0.0632839212290508,0.10389061272144318,0.10389061272144318,0.0,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pls_only,7.0,0.04396329760888791,-0.10106535661826993,-0.14502865422715783,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,0.0,0.158374170631343,0.029166394653447097,-0.1292077759778959,0.07949713617563248,0.07583317160606384,-0.003663964569568634,0.07443172484636307,1,0.09842519462108612,0.4015747904777527,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,1.0,-0.07340377860033029,-0.036858071699726776,0.03654570690060351,0.2538348436355591,0.2538348436355591,0.0,0.2621433138847351,1,0.08267716318368912,0.4173228442668915,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,2.0,0.16149304821816252,0.3226463895210962,0.16115334130293368,0.10907306522130966,0.10033891350030899,-0.008734151721000671,0.10959672182798386,0,0.5,0.0,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,3.0,-0.11872729432160786,-0.13724802180523854,-0.018520727483630678,0.36835718154907227,0.6876398324966431,0.3192826509475708,0.5746539235115051,0,0.4763779640197754,0.023622047156095505,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,4.0,0.137688680325182,-0.04752023848668481,-0.1852089188118668,0.730478048324585,0.7436109781265259,0.013132929801940918,0.6749258041381836,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,5.0,0.028508730337246966,-0.07468809070109249,-0.10319682103833945,0.826001763343811,0.8159869313240051,-0.010014832019805908,0.6941273212432861,1,0.019685039296746254,0.4803149700164795,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,6.0,-0.27468349687228166,-0.24670310401702297,0.02798039285525869,0.10389061272144318,0.11286352574825287,0.008972913026809692,0.11168261617422104,0,0.4842519760131836,0.015748031437397003,,,,,,,,,
pdebench_burgers_shockjump_balanced_delta01_n2000,data\processed\pdebench_burgers_shockjump_balanced_delta01_n2000,0,pca_train,7.0,0.04396329760888791,-0.07943979360491928,-0.12340309121380719,0.5085366368293762,0.5033094882965088,-0.005227148532867432,0.45906388759613037,0,0.33464565873146057,0.16535432636737823,,,,,,,,,
