benchmark,dataset,train_size,setting,seed,method,subset,n_eval,N_train,N_test,Q,D,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95,train_sec,predict_sec,m_u,m_v,steps1,steps2,lr,split_type,standardize_x,standardize_y_for_baseline,y_standardized_for_dmgp,status
uci,Wine Quality,200,uci_wine_quality_train200,0,deep_mahalanobis_gp,all,200,200,200,3,11,0.7334786428246999,0.41789952608875097,43.7147711,0.76,1.6770804211343364,0.84,1.9983645783075759,42.863427,0.8513440999999986,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,200,uci_wine_quality_train200,1,deep_mahalanobis_gp,all,200,200,200,3,11,0.7185935838657245,0.401337335784812,53.8257904,0.855,1.877040721040218,0.89,2.2366319716681153,53.0211034,0.8046870000000013,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,200,uci_wine_quality_train200,2,deep_mahalanobis_gp,all,200,200,200,3,11,0.7369276656264456,0.4114038993917364,49.489272599999964,0.845,1.8822978306353395,0.875,2.2428962041204064,48.61188279999999,0.8773897999999747,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,200,uci_wine_quality_train200,3,deep_mahalanobis_gp,all,200,200,200,3,11,0.707472822819109,0.39802404976905903,63.96742660000001,0.87,1.9431552659725384,0.9,2.315412311023761,62.89071999999999,1.0767066000000227,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,200,uci_wine_quality_train200,4,deep_mahalanobis_gp,all,200,200,200,3,11,0.7700031353024721,0.4271672160542343,65.54091810000006,0.82,1.9043773869447276,0.85,2.269205618193457,64.27502100000004,1.2658971000000179,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Parkinsons Telemonitoring,200,uci_parkinsons_telemonitoring_train200,0,deep_mahalanobis_gp,all,200,200,200,5,18,8.718913047164955,5.6799619561088495,116.8855527,0.53,17.603927706510362,0.65,20.97637365773036,115.33395030000003,1.5516023999999788,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,200,uci_parkinsons_telemonitoring_train200,1,deep_mahalanobis_gp,all,200,200,200,5,18,8.498022479361456,5.272906718989951,113.84777220000007,0.615,17.042856461816157,0.705,20.307816033913213,112.3256376,1.5221346000000722,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,200,uci_parkinsons_telemonitoring_train200,2,deep_mahalanobis_gp,all,200,200,200,5,18,7.836385214758722,4.57402255640786,130.93872279999994,0.69,16.924384994133117,0.76,20.16664857314364,129.43983930000002,1.4988834999999199,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,200,uci_parkinsons_telemonitoring_train200,3,deep_mahalanobis_gp,all,200,200,200,5,18,8.87947662199833,5.736974545132471,113.25548809999998,0.545,15.989233521556537,0.68,19.05234686488971,111.87546429999998,1.3800238000000036,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,200,uci_parkinsons_telemonitoring_train200,4,deep_mahalanobis_gp,all,200,200,200,5,18,9.432733835104848,6.185011667815127,106.54192439999997,0.54,15.913749884132082,0.605,18.962402563251025,104.80160330000001,1.74032109999996,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Appliances Energy Prediction,200,uci_appliances_energy_prediction_train200,0,deep_mahalanobis_gp,all,200,200,200,5,27,106.81659469751135,41.753287518353744,134.7606723,0.875,135.39348424171487,0.905,161.33128717779917,133.10348350000004,1.6571887999999717,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,200,uci_appliances_energy_prediction_train200,1,deep_mahalanobis_gp,all,200,200,200,5,27,115.97930273571612,48.60494910130367,106.69378910000012,0.885,199.4158464196939,0.895,237.6186370172997,104.67520790000015,2.0185811999999714,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,200,uci_appliances_energy_prediction_train200,2,deep_mahalanobis_gp,all,200,200,200,5,27,106.18217739620593,47.875557734823445,117.01762639999993,0.87,190.03153652651974,0.9,226.4365420825223,115.43168149999997,1.5859448999999586,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,200,uci_appliances_energy_prediction_train200,3,deep_mahalanobis_gp,all,200,200,200,5,27,116.3143207833829,52.22313049479234,125.55750739999985,0.825,167.08234239223478,0.855,199.09089062733452,124.30791399999998,1.249593399999867,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,200,uci_appliances_energy_prediction_train200,4,deep_mahalanobis_gp,all,200,200,200,5,27,91.25826448412724,36.437815285306186,121.45885930000009,0.91,179.0321127412633,0.93,213.32992024301447,120.09693979999997,1.3619195000001127,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Wine Quality,500,uci_wine_quality_train500,0,deep_mahalanobis_gp,all,200,500,200,3,11,0.6674617990572164,0.37679999191731434,172.92701330000023,0.79,1.6083723188566625,0.87,1.916493824762216,171.98149490000014,0.9455184000000827,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,500,uci_wine_quality_train500,1,deep_mahalanobis_gp,all,200,500,200,3,11,0.7227903764905893,0.41655734381464854,153.25063180000006,0.745,1.6127375103630723,0.835,1.9216952712605533,152.13517260000003,1.115459200000032,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,500,uci_wine_quality_train500,2,deep_mahalanobis_gp,all,200,500,200,3,11,0.6934287469963121,0.38650947732387303,149.84415809999996,0.79,1.5771864646474985,0.855,1.879333587476931,148.85493150000002,0.9892265999999381,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,500,uci_wine_quality_train500,3,deep_mahalanobis_gp,all,200,500,200,3,11,0.7992169073792036,0.47089731582663547,129.9272506999996,0.715,1.6407425460656986,0.8,1.9550653295219897,128.9570031999997,0.970247499999914,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,500,uci_wine_quality_train500,4,deep_mahalanobis_gp,all,200,500,200,3,11,0.7449760267492964,0.4234101987582821,165.30119270000023,0.755,1.5284690504450145,0.82,1.8212832079828258,164.19503239999995,1.1061603000002833,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Parkinsons Telemonitoring,500,uci_parkinsons_telemonitoring_train500,0,deep_mahalanobis_gp,all,200,500,200,5,18,9.139168051707987,6.161744311952785,253.4745084999995,0.485,16.59007121135199,0.605,19.76828913066804,252.16709599999967,1.3074124999998276,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,500,uci_parkinsons_telemonitoring_train500,1,deep_mahalanobis_gp,all,200,500,200,5,18,8.44915310507241,4.984272315794411,250.7947494,0.72,16.399680676878724,0.765,19.541424816147522,249.33473860000004,1.4600107999999636,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,500,uci_parkinsons_telemonitoring_train500,2,deep_mahalanobis_gp,all,200,500,200,5,18,7.9324261965662295,4.657299892707902,256.4422481000006,0.695,16.78884296182871,0.785,20.005140280031647,254.79646540000022,1.6457827000003817,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,500,uci_parkinsons_telemonitoring_train500,3,deep_mahalanobis_gp,all,200,500,200,5,18,8.664300453256782,5.690591928050364,256.46343769999976,0.475,14.619386402070914,0.585,17.420073345516567,254.96327399999973,1.50016370000003,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,500,uci_parkinsons_telemonitoring_train500,4,deep_mahalanobis_gp,all,200,500,200,5,18,10.95798909112452,7.664606871127653,216.72443099999964,0.345,12.846969836535996,0.385,15.308108744454161,215.0898004999999,1.63463049999973,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Appliances Energy Prediction,500,uci_appliances_energy_prediction_train500,0,deep_mahalanobis_gp,all,200,500,200,5,27,111.79335117825433,47.08013937620167,294.91242109999985,0.9,203.25495526392794,0.9,242.19321735936555,293.5829355999999,1.3294854999999188,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,500,uci_appliances_energy_prediction_train500,1,deep_mahalanobis_gp,all,200,500,200,5,27,114.21167368143263,47.84395660144315,306.90274350000027,0.87,170.9477393209093,0.885,203.69679515404619,305.33045790000006,1.572285600000214,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,500,uci_appliances_energy_prediction_train500,2,deep_mahalanobis_gp,all,200,500,200,5,27,94.12304601771287,41.93472649238154,312.34282879999955,0.9,216.13246098555567,0.935,257.5377118551323,310.9388788999995,1.4039499000000433,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,500,uci_appliances_energy_prediction_train500,3,deep_mahalanobis_gp,all,200,500,200,5,27,107.28567377986202,46.789770636376,300.26005709999936,0.89,215.09291747819293,0.92,256.29901936516916,298.66236169999956,1.5976953999997932,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,500,uci_appliances_energy_prediction_train500,4,deep_mahalanobis_gp,all,200,500,200,5,27,97.42310912664765,39.85557688357519,289.4706076000002,0.905,186.01296278984998,0.91,221.64811613140046,288.0138252000006,1.4567823999996108,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Wine Quality,1000,uci_wine_quality_train1000,0,deep_mahalanobis_gp,all,200,1000,200,3,11,0.7262089570319397,0.4210890300502625,352.71623609999915,0.755,1.522944978256273,0.82,1.8147008699798999,351.3914935999992,1.3247424999999566,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,1000,uci_wine_quality_train1000,1,deep_mahalanobis_gp,all,200,1000,200,3,11,0.7280372561019204,0.42103963483321877,321.84953399999904,0.73,1.4842484433456007,0.805,1.7685911046435272,320.6732194999995,1.1763144999995347,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,1000,uci_wine_quality_train1000,2,deep_mahalanobis_gp,all,200,1000,200,3,11,0.7351194984096071,0.42147526022865384,269.6891447000007,0.72,1.4363421629437705,0.795,1.7115072506869375,267.8279913000006,1.8611534000001484,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,1000,uci_wine_quality_train1000,3,deep_mahalanobis_gp,all,200,1000,200,3,11,0.6892478132444353,0.3970207750045472,316.3132489999998,0.74,1.558132346853947,0.84,1.8566292057492029,315.1628375999999,1.150411399999939,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Wine Quality,1000,uci_wine_quality_train1000,4,deep_mahalanobis_gp,all,200,1000,200,3,11,0.674206334050157,0.3801808103470218,323.4858945999986,0.76,1.5304855376305213,0.85,1.823686000665482,322.2581477999993,1.227746799999295,50,25,300,700,0.01,random_row,True,False,True,ok
uci,Parkinsons Telemonitoring,1000,uci_parkinsons_telemonitoring_train1000,0,deep_mahalanobis_gp,all,200,1000,200,5,18,9.091567254204438,6.156425087220414,478.5833041999995,0.41,13.858602318479127,0.5,16.513543196317336,476.14109949999965,2.44220469999982,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,1000,uci_parkinsons_telemonitoring_train1000,1,deep_mahalanobis_gp,all,200,1000,200,5,18,8.37637840701083,4.955859187214108,421.9211371000001,0.69,14.780334487265263,0.755,17.611854817857218,420.11568439999974,1.8054527000003873,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,1000,uci_parkinsons_telemonitoring_train1000,2,deep_mahalanobis_gp,all,200,1000,200,5,18,7.896004243738087,4.825861029238522,500.8801188999996,0.655,15.356560254784469,0.72,18.2984701693975,498.8148504999999,2.0652683999996952,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,1000,uci_parkinsons_telemonitoring_train1000,3,deep_mahalanobis_gp,all,200,1000,200,5,18,8.952325929807818,5.895005939595478,393.81679110000096,0.5,14.631233470507471,0.67,17.43418999825549,392.1135125999999,1.7032785000010335,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Parkinsons Telemonitoring,1000,uci_parkinsons_telemonitoring_train1000,4,deep_mahalanobis_gp,all,200,1000,200,5,18,10.42802505765887,7.26334209158021,612.9588207000015,0.335,12.627608670446566,0.415,15.046723793175044,611.3406933000006,1.618127400000958,50,25,300,700,0.01,subject_grouped,True,False,True,ok
uci,Appliances Energy Prediction,1000,uci_appliances_energy_prediction_train1000,0,deep_mahalanobis_gp,all,200,1000,200,5,27,111.01463861404505,46.563358342876654,559.5815982000004,0.875,185.25488965047603,0.91,220.74481627147682,557.8335206000011,1.7480775999993057,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,1000,uci_appliances_energy_prediction_train1000,1,deep_mahalanobis_gp,all,200,1000,200,5,27,110.21428625615113,46.888324845284636,530.3797274999997,0.87,175.66249498316785,0.88,209.31477303519026,529.0055542999999,1.3741731999998592,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,1000,uci_appliances_energy_prediction_train1000,2,deep_mahalanobis_gp,all,200,1000,200,5,27,95.77280826090289,42.85631907945533,640.8923699999978,0.9,219.3188232452055,0.92,261.3344966682502,637.2894093999985,3.602960599999278,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,1000,uci_appliances_energy_prediction_train1000,3,deep_mahalanobis_gp,all,200,1000,200,5,27,107.56323328058627,46.00734886661108,653.7917630000011,0.88,203.57159371952903,0.89,242.57051535046324,650.3355358999997,3.4562271000013425,50,25,300,700,0.01,random_row,True,True,True,ok
uci,Appliances Energy Prediction,1000,uci_appliances_energy_prediction_train1000,4,deep_mahalanobis_gp,all,200,1000,200,5,27,93.73864168223251,37.35062098930585,575.176226399999,0.905,165.98520217502067,0.92,197.78356742453047,571.7621254999995,3.4141008999995393,50,25,300,700,0.01,random_row,True,True,True,ok
